beam_index,beamcode,range_index,x_km,y_km,z_km,altitude_km,dz_from_h0_km,Ne,log10_Ne,dNe,rel_dNe,x_norm,y_norm,log10_Ne_norm
25,61643.0,9,9.605602997426336,245.571465913759,408.0435800960307,413.0222424176411,3.0222424176411096,98483915618.0205,10.993365307363282,11077626468.754837,0.11248158035998991,-0.6533340928249799,-0.25494604372986485,0.7948257753602241
26,61667.0,9,70.418156444595,219.4584662604582,411.71904840518374,416.118717513363,6.118717513362981,74260557941.1091,10.870758207882796,8013154113.375309,0.10790592389206106,-0.4307614215290586,-0.34729237156250414,0.6740224652397906
27,61691.0,9,129.58188529688667,190.60238763812123,411.71904840518374,416.07200812184215,6.072008121842146,21084293420.57258,10.323959051464795,1393093987.8899407,0.06607259537237596,-0.21422341369943976,-0.4493393570410915,0.13526778997020616
28,61715.0,9,187.59915620622058,158.7582094591984,408.0435800960307,412.88167882316696,2.8816788231669648,11194742270.5533,10.049014099543903,2440130960.708415,0.21797116018713053,-0.0018814179171396939,-0.5619534939351679,-0.13563218591767812
29,61739.0,9,242.68487927632557,122.37637137699329,396.64790295157854,402.426094397323,-7.573905602676973,56281156238.10799,10.750363010985025,4622680643.406177,0.08213549529524694,0.1997311742038621,-0.690614666198027,0.5553985163047057
30,62708.0,9,-72.24365863221965,223.53727160777308,414.3779889510862,418.93423834463215,8.93423834463215,134241034423.85947,11.12788529004931,10105045413.63875,0.07527538399125089,-0.9529006752467418,-0.33286803499567663,0.9273667069593923
31,62732.0,8,-9.248715746006686,187.76043101855666,393.24168802393905,396.29276473436676,-13.707235265633244,63126794277.64312,10.800213735424617,9319183737.474989,0.1476264373015288,-0.7223405043356615,-0.4593896868063767,0.6045158394427737
32,62756.0,8,46.57264800360456,164.14676098042247,396.1887230445978,398.74206798123356,-11.25793201876644,33123386488.17928,10.520134732036269,6597492553.257382,0.1991792884949075,-0.5180354827429408,-0.5428973551564458,0.32855734398933967
33,62780.0,8,100.67642764256341,137.75858448591615,396.1887230445978,398.69932419533654,-11.300675804663456,58082357077.18227,10.76404423243106,1142141157.1849217,0.019664166791082478,-0.32001678300341196,-0.6362168216988198,0.5688784603224233
34,62804.0,8,153.6513167255099,108.30877650376101,393.24168802393905,396.16404410262726,-13.835955897372742,15450110455.073698,10.188931588606001,2327661697.445721,0.15065663797124085,-0.1261297990431045,-0.7403634788671243,0.0022268442205490846
35,62828.0,9,220.62741131526732,80.69450654623178,414.3779889510862,418.70360313080823,8.703603130808233,58148459427.57113,10.764538213114893,3616892055.435815,0.062200995366712385,0.11900130367832973,-0.8380189171627648,0.5693651735877681
36,63842.0,8,-85.11240027604408,165.61081968310035,394.09069910654284,397.0562824740362,-12.943717525963791,62120082876.3277,10.793232026462634,9520220398.298464,0.15325511424786534,-1.0,-0.5377198402512735,0.5976368450250062
37,63866.0,8,-27.82656924769531,147.55025096244978,404.39248315833214,406.43325076483296,-3.5667492351670376,57519758830.04595,10.759817056460365,10241004611.979012,0.1780432467082865,-0.790335058854859,-0.6015894539327599,0.564713474347833
38,63890.0,8,27.687860152050575,124.68587914783382,407.3157147147435,408.8607214876952,-1.139278512304827,62829906471.31882,10.798166413225085,4892483439.261874,0.07786870479419289,-0.5871534105508682,-0.6824472949817866,0.602498637342451
39,63914.0,8,81.20746476157922,98.582623852607,407.3157147147435,408.81856324262384,-1.1814367573761615,40214252749.335724,10.604380003167737,843958258.4044099,0.020986545831523644,-0.3912727791777272,-0.7747591627486667,0.4115632030121652
40,63938.0,8,133.40293113206872,68.91336938904695,404.39248315833214,406.30622684060955,-3.693773159390446,19139880850.777157,10.281939229887477,1512363983.5946627,0.0790163739986529,-0.20023846601229056,-0.8796818731082016,0.0938661618530845
41,63962.0,8,182.9035327463641,34.89071489318664,394.09069910654284,396.84492673874126,-13.155073261258735,30894182665.79841,10.489876710040027,1451588676.863753,0.04698582553765836,-0.019067301383914326,-1.0,0.29874447646102364
