h0_km,half_width_km,n_points,n_beams,beam_fraction,area_km2,dz_rms_km,dz_max_abs_km,median_rel_dNe,log10_Ne_std,area_norm,uncertainty_penalty,dz_penalty,score
350.0,15.0,39,39,0.9285714285714286,115395.68440254158,8.460706352641838,14.114774493677146,0.10267571706470333,0.29659131331112404,0.5874110356600475,0.10267571706470333,0.5640470901761225,4.845568916364426
290.0,15.0,40,40,0.9523809523809523,86486.08995953025,8.107943913616062,14.488976901776141,0.10539410811374585,0.2668448619678337,0.4402494247193595,0.10539410811374585,0.5405295942410707,4.826495281389841
165.0,15.0,42,42,1.0,27736.512578423193,6.11266275203726,11.90867405393999,0.11285805334398016,0.20480889343526598,0.1411901464395722,0.11285805334398016,0.40751085013581734,4.824576668027683
395.0,15.0,38,38,0.9047619047619048,131548.5022548478,7.917334637051513,13.860721487695173,0.11183329196797642,0.4211672609990925,0.6696354577654059,0.11183329196797642,0.5278223091367675,4.817700535038568
425.0,15.0,36,36,0.8571428571428571,174084.41922407778,7.464681612327617,12.349787137289013,0.10762664950798176,0.27343822004000934,0.8861606005297125,0.10762664950798176,0.4976454408218411,4.815425516325096
245.0,15.0,41,41,0.9761904761904762,63847.05642362425,8.795345536922177,14.881497336418647,0.10613296723850264,0.20446362245902924,0.325007522870765,0.10613296723850264,0.5863563691281451,4.80664875202057
160.0,15.0,42,42,1.0,27736.512578423193,6.776373687815523,11.560916956257898,0.11147037019177763,0.2041442902469207,0.1411901464395722,0.11147037019177763,0.4517582458543682,4.803840653320611
280.0,15.0,40,40,0.9523809523809523,85152.25990687482,8.77640796404761,14.708553725001934,0.10147335645991608,0.2564002883053957,0.43345968646630956,0.10147335645991608,0.5850938642698407,4.801344159776235
170.0,15.0,42,42,1.0,27736.512578423193,7.162841265279772,12.96289318662798,0.1126994362268864,0.19511886090700095,0.1411901464395722,0.1126994362268864,0.47752275101865144,4.78972933470336
455.0,15.0,35,35,0.8333333333333334,196447.93406524378,8.364744082811791,14.681500585626168,0.10824058165293997,0.552857123903006,1.0,0.10824058165293997,0.5576496055207861,4.779601282253333
435.0,15.0,35,35,0.8333333333333334,189781.0692796488,7.225061141468987,13.131491644040807,0.11441028903978227,0.406141971771638,0.9660629427470548,0.11441028903978227,0.48167074276459915,4.777483948991639
275.0,15.0,40,40,0.9523809523809523,74303.13292348364,7.816468686005305,13.470605393596202,0.1042704022026997,0.2383781999281248,0.3782332111408526,0.1042704022026997,0.5210979124003537,4.775318614642738
175.0,15.0,42,42,1.0,34611.57741037703,9.13000814002512,14.626356794463732,0.11193584719693675,0.2019402281738499,0.17618702673086867,0.11193584719693675,0.6086672093350081,4.759917574866428
155.0,15.0,42,42,1.0,27736.512578423193,8.217821927600989,13.860727177864646,0.11173032245953049,0.21087216037279516,0.1411901464395722,0.11173032245953049,0.5478547951733993,4.755532426393342
195.0,15.0,41,41,0.9761904761904762,42084.34580607594,6.822458337973749,13.605970403005728,0.11678279233240185,0.19553923035699458,0.21422646161348274,0.11678279233240185,0.45483055586491655,4.750980772301003
400.0,15.0,37,37,0.8809523809523809,138480.45761646767,7.610441231595633,13.690672823370221,0.10734737512390244,0.41841357973927806,0.7049219340248999,0.10734737512390244,0.5073627487730422,4.748655089276381
200.0,15.0,41,41,0.9761904761904762,42419.30083341133,7.171232264770587,13.640207212400128,0.11204025268274137,0.20321892448265189,0.21593151913383393,0.11204025268274137,0.4780821509847058,4.74580257191112
390.0,15.0,37,37,0.8809523809523809,144942.50728574814,8.450420274147335,13.007662970782803,0.11934271705824887,0.4243381019987808,0.7378163989121423,0.11934271705824887,0.5633613516098224,4.741554910810887
450.0,15.0,35,35,0.8333333333333334,191386.33522781922,8.777964159109693,13.757768538402274,0.10824058165293997,0.5404750558898785,0.9742344002673832,0.10824058165293997,0.5851976106073129,4.740061679977453
205.0,15.0,41,41,0.9761904761904762,42470.5360828323,8.330634816099046,14.571003187127559,0.11204025268274137,0.19731112674177237,0.21619232742212038,0.11204025268274137,0.5553756544066031,4.707416628488457
190.0,15.0,41,41,0.9761904761904762,34568.81043655756,7.454530421423772,13.030101231188723,0.11340501562355366,0.20694834928991998,0.17596932541462437,0.11340501562355366,0.49696869476158484,4.6950323433626595
355.0,15.0,37,37,0.8809523809523809,117116.81878305256,7.873742680447237,13.916060090504402,0.11084595002524633,0.3100135261896108,0.5961723106955964,0.11084595002524633,0.5249161786964824,4.627630176084014
380.0,15.0,36,36,0.8571428571428571,134349.9504032579,7.717467410118489,14.692988615292393,0.11183329196797642,0.34667760306050627,0.6838959699043613,0.11183329196797642,0.5144978273412326,4.600528049980054
210.0,15.0,40,40,0.9523809523809523,43084.35543422632,8.989485212778296,14.89650983568393,0.11407804318486067,0.1909483416288731,0.21931691793672545,0.11407804318486067,0.5992990141852198,4.567494129564017
230.0,15.0,39,39,0.9285714285714286,53107.99442133592,7.1686399065596875,12.003069442068522,0.11611583368697996,0.19309238121670086,0.27034132312991305,0.11611583368697996,0.47790932710397915,4.558127968748087
225.0,15.0,39,39,0.9285714285714286,53006.309324417576,7.672438949858816,11.923782571523589,0.11611583368697996,0.18514524983957523,0.2698237045690349,0.11611583368697996,0.5114959299905878,4.540817048743905
235.0,15.0,39,39,0.9285714285714286,53286.22021689433,7.9710414496753685,14.456593635442886,0.11488979123900356,0.19347807558310207,0.27124856502281697,0.11488979123900356,0.5314027633116912,4.533514534985111
180.0,15.0,40,40,0.9523809523809523,35105.01640052876,9.697779927733308,14.47347585930595,0.11330524705958403,0.20590301431667848,0.17869883217438048,0.11330524705958403,0.6465186618488872,4.504039016095115
255.0,15.0,38,38,0.9047619047619048,63867.656114080426,7.480259229424056,13.151068968045138,0.10622730510849268,0.19843816815375762,0.3251123836856888,0.10622730510849268,0.4986839486282704,4.493352628072584
250.0,15.0,38,38,0.9047619047619048,61880.85796067392,8.593097599706926,14.956988093699806,0.10622730510849268,0.21152506524268272,0.31499877183804953,0.10622730510849268,0.5728731733137951,4.446144403882183
315.0,15.0,36,36,0.8571428571428571,96432.5412481321,7.665417155972645,12.528711691613694,0.103991286566571,0.3267325191610482,0.4908809130876641,0.103991286566571,0.5110278103981764,4.417090007036291
240.0,15.0,36,36,0.8571428571428571,61888.04856520258,7.202603710629872,11.9306874962125,0.10910204432026292,0.17914222189220586,0.31503537494392014,0.10910204432026292,0.4801735807086581,4.2515608259836135
185.0,15.0,37,37,0.8809523809523809,33412.41792442174,8.5252562431912,14.882689086216146,0.11678279233240185,0.19706866341286844,0.17008281651526502,0.11678279233240185,0.5683504162127466,4.173886720838395
220.0,15.0,35,35,0.8333333333333334,52540.710345979955,7.618957844065337,12.664144230491843,0.10751810929730739,0.1812390981997636,0.2674536161247197,0.10751810929730739,0.5079305229376891,4.072636912025235
215.0,15.0,35,35,0.8333333333333334,43099.67863689088,8.301660980257573,13.198793365583242,0.11204025268274137,0.18128971251310597,0.2193949192796129,0.11204025268274137,0.5534440653505048,3.9972993005882858
475.0,15.0,31,31,0.7380952380952381,176865.90981162342,8.798806929484712,13.056941307756688,0.09126951756810515,0.38115380264845233,0.9003195205549129,0.09126951756810515,0.5865871286323141,-inf
495.0,15.0,29,29,0.6904761904761905,160826.35770520236,8.682761169231902,14.86993389835186,0.12205975171142518,0.41133813093190985,0.8186716672306115,0.12205975171142518,0.5788507446154602,-inf
490.0,15.0,28,28,0.6666666666666666,160826.35770520236,7.821870076475518,13.899569135168463,0.12412476722065169,0.4082424410003144,0.8186716672306115,0.12412476722065169,0.5214580050983678,-inf
485.0,15.0,31,31,0.7380952380952381,176351.0758729399,8.465860676329498,14.084850254528646,0.12034930532975961,0.3594935557779691,0.8976988061089541,0.12034930532975961,0.5643907117552999,-inf
480.0,15.0,27,27,0.6428571428571429,157212.02386441038,7.776753999045636,14.38832027584266,0.10734356898577756,0.3923415680010607,0.8002732358193063,0.10734356898577756,0.5184502666030424,-inf
150.0,15.0,33,33,0.7857142857142857,20499.13135523314,8.180249465323355,14.991014217320298,0.11199385683021913,0.20019717286042826,0.10434892814105656,0.11199385683021913,0.5453499643548904,-inf
470.0,15.0,33,33,0.7857142857142857,174053.7779568478,8.580683786599312,14.679358805774882,0.08947602795283749,0.40485361353298116,0.8860046239989549,0.08947602795283749,0.5720455857732875,-inf
465.0,15.0,31,31,0.7380952380952381,173694.33520738065,7.740897395789114,14.378507576233346,0.09126951756810515,0.4590790368365964,0.8841749139988091,0.09126951756810515,0.516059826385941,-inf
460.0,15.0,30,30,0.7142857142857143,173694.33520738065,7.488146059561185,14.497587004188631,0.10407027939800326,0.4647941100611028,0.8841749139988091,0.10407027939800326,0.49920973730407897,-inf
445.0,15.0,33,33,0.7857142857142857,186551.7907137813,8.387510391369215,14.971595419671075,0.11464129754685576,0.5437267478055516,0.949624599522763,0.11464129754685576,0.5591673594246144,-inf
500.0,15.0,29,29,0.6904761904761905,162300.74129322558,8.97848339533632,14.856041903824575,0.1130285718372363,0.3839023239489278,0.8261768802278301,0.1130285718372363,0.5985655596890881,-inf
